מספר סידורי,שם העיר,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
21,מעלות-תרשיחא,מצדה 33,103.8,2025,1280000,21166-159-29,דירה בבית,5,12331
22,מעלות-תרשיחא,אלומות 1,109,2025,1110000,18391-1-124,דירה בבית,4,10183
23,מעלות-תרשיחא,הסיגליות 21,65.55,2025,800000,18593-8-11,דירה בבית,4,12204
24,מעלות-תרשיחא,אלומות 1,106,2025,1531000,18391-1-123,דירה בבית,4,14443
25,מעלות-תרשיחא,מירון 28,99.41,2025,1530000,21166-92-4,דירה בבית,4,15391
26,מעלות-תרשיחא,אלומות 1,104,2025,1430000,18391-1-126,דירה בבית,4,13750
27,מעלות-תרשיחא,מצדה 20,103.2,2025,1340000,21166-83-10,דירה בבית,4,12984
28,מעלות-תרשיחא,מירון 4,118.3,2025,1560000,21166-165-34,דירה בבית,5,13187
29,מעלות-תרשיחא,0,142,2025,1810000,21090-13-49,דירה בבית,5,12746
30,מעלות-תרשיחא,מירון 18,102,2025,1456000,21166-34-13,דירה בבית,4,14275
31,מעלות-תרשיחא,הגליל 442,72.21,2025,800000,18737-6-10,דירה בבית,4,11079
32,מעלות-תרשיחא,מירון 8,100.7,2025,1245000,21166-165-26,דירה בבית,5,12363
33,מעלות-תרשיחא,0,110.35,2025,1370000,21166-167-16,דירה בבית,5,12415
34,מעלות-תרשיחא,מצדה 43,132,2025,1280000,21166-160-2,דירה בבית,5,9697
35,מעלות-תרשיחא,קרן היסוד 321,72.6,2025,800000,18773-2-4,דירה בבית,4,11019
36,מעלות-תרשיחא,מירון 18,102,2025,1450000,21166-34-14,דירה בבית,4,14216
38,מעלות-תרשיחא,קטיף 15,250,2025,2675000,18407-15-5,קוטג' חד משפחתי,5,10700
39,מעלות-תרשיחא,מירון 16,102,2025,1301000,21166-35-15,דירה בבית,4,12755
40,מעלות-תרשיחא,מירון 20,102,2025,1296000,21166-33-63,דירה בבית,4,12706
43,מעלות-תרשיחא,קרן היסוד 303,52,2025,620000,18775-10-17,דירה בבית,3,11923
44,מעלות-תרשיחא,מירון 20,152,2025,1906000,21166-33-64,דירה בבית,5,12539
45,מעלות-תרשיחא,הפלמח 16,84.53,2025,950000,19435-8-8,דירה בבית,4,11239
46,מעלות-תרשיחא,מצדה 18,110.9,2025,1430000,21166-82-8,דירה בבית,4,12894
47,מעלות-תרשיחא,0,142,2025,1820000,21090-13-51,דירה בבית,5,12817
48,מעלות-תרשיחא,המעפילים 50,112.29,2025,1570000,19431-3-1,דירה בבית,5,13982
49,מעלות-תרשיחא,0,93.8,2025,1300000,21166-91-8,דירה בבית,4,13859
50,מעלות-תרשיחא,מצדה 32,127.56,2025,1680000,21166-96-1,דירה בבית,4,13170
51,מעלות-תרשיחא,אסיף 1,207,2025,2770000,18391-4-17,דירה בבית,6,13382
52,מעלות-תרשיחא,קרן היסוד 41,141.9,2025,1080000,18773-8-2,דירה בבית,6,7611
53,מעלות-תרשיחא,0,125,2025,1960000,18428-1-70,דירה בבית,5,15680
54,מעלות-תרשיחא,מירון 14,156,2025,1906000,21166-36-12,דירה בבית,5,12218
55,מעלות-תרשיחא,0,160,2025,1900000,18406-17-11,דירה בבית,6,11875
56,מעלות-תרשיחא,קרן היסוד 303,52.8,2025,610000,18775-10-13,דירה בבית,3,11553
57,מעלות-תרשיחא,אסתר המלכה 4,94.16,2025,1330000,19443-1-8,דירה בבית,5,14125
58,מעלות-תרשיחא,חסון 150,40.68,2025,600000,18775-4-3,דירה בבית,3,14749
59,מעלות-תרשיחא,0,134,2025,2130000,18428-1-73,דירה בבית,5,15896
60,מעלות-תרשיחא,קהילת יהדות צרפת 5,95.15,2025,1650000,21093-87-2,דירה בבית,6,17341
61,מעלות-תרשיחא,0,92.75,2025,1330000,21166-167-17,דירה בבית,4,14340
62,מעלות-תרשיחא,0,136,2025,2080000,18428-1-74,דירה בבית,5,15294
63,מעלות-תרשיחא,חרמון 9,100,2025,1250000,21166-38-11,דירה בבית,4,12500
64,מעלות-תרשיחא,לוי אשכול 450,58.86,2025,450000,18778-2-7,דירה בבית,3,7645
65,מעלות-תרשיחא,דולב 6,121,2025,1665000,21093-53-2,קוטג' דו משפחתי,6,13760
