מספר סידורי,שם העיר,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,מחיר למר,חדרים
171,אום אל-פחם,עין ח'אלד 9,129,2022,300000,20406-26-2,קוטג' חד משפחתי,4,2326
173,אום אל-פחם,א-ד'הרה 18,120,2022,120000,20406-83-1,דירה בבית,4,1000
174,אום אל-פחם,עין ח'אלד 9,114,2022,250000,20406-26-1,דירה בבית,4,2193
175,אום אל-פחם,אל-אחסאן 2,104,2022,880000,20407-22-1,דירה בבית,3,8462
177,אום אל-פחם,זריאב 1,130,2022,400000,20409-66-1,דירה בבית,5,3077
183,אום אל-פחם,עין א-ד'רווה 30,111,2022,1111111,20406-45-1,דירה,1,10010
191,אום אל-פחם,אפאק 26,240,2022,1000000,20449-64-1,דירה בבית,5,4167
193,אום אל-פחם,א-לוז 11,100,2022,150000,20356-78-1,דירה בבית,4,1500
199,אום אל-פחם,אל-חדאדין 1,120,2022,800000,20315-4-5,דירה בבית,4,6667
204,אום אל-פחם,א-ריחאן 1,232,2022,623000,20344-50-2,קוטג' חד משפחתי,5,2685
209,אום אל-פחם,אל-ארג'ואן 2,104,2021,500000,20358-34-4,קוטג' חד משפחתי,4,4808
211,אום אל-פחם,אבן א-נדים 1,250,2021,1500000,20355-41-2,קוטג' חד משפחתי,6,6000
238,אום אל-פחם,א-סלאם 35,100,2021,500000,20447-42-1,קוטג' חד משפחתי,3,5000
240,אום אל-פחם,אל-ג'נאן 2,320,2021,1261000,20311-7-8,קוטג' חד משפחתי,6,3941
244,אום אל-פחם,אבן כת'יר 2,110,2021,800000,20339-35-1,קוטג' חד משפחתי,3,7273
265,אום אל-פחם,אל-בח'ארי 36,170,2021,800000,20449-103-1,קוטג' חד משפחתי,5,4706
272,אום אל-פחם,אבן ח'לדון 5,75,2020,75000,20345-92-1,דירה בבית,3,1000
282,אום אל-פחם,בג'דאד 30,178,2020,1200000,20452-16-2,קוטג' חד משפחתי,5,6742
283,אום אל-פחם,אל-ג'נאן 60,194,2020,1050000,20449-18-1,דירה בבית,5,5412
300,אום אל-פחם,עין ח'אלד 31,170,2020,240000,20406-34-1,דירה בבית,5,1412
303,אום אל-פחם,אל-פרזדק 2,694,2020,3350000,20430-44-11,קוטג' חד משפחתי,5,4827
305,אום אל-פחם,אל-חדאדין 1,200,2020,1200000,20315-4-1,דירה בבית,5,6000
317,אום אל-פחם,א-טברי 1,284,2020,426000,20417-31-1,דירת גן,6,1500
322,אום אל-פחם,זנובייה 1,105,2020,730000,20409-57-1,קוטג' חד משפחתי,4,6952
329,אום אל-פחם,אל-אג'באריה 8,317,2019,1000000,20345-26-1,קוטג' חד משפחתי,5,3155
349,אום אל-פחם,א-שרפה 30,100,2019,100000,20418-5-4,קוטג' דו משפחתי,3,1000
352,אום אל-פחם,0,110,2019,1111111,20340-39-1,דירה,5,10101
354,אום אל-פחם,אל-כלאיל 14,89,2019,150000,20411-54-1,קוטג' דו משפחתי,3,1685
359,אום אל-פחם,א-ריחאן 1,130,2019,950000,20344-50-1,קוטג' דו משפחתי,4,7308
362,אום אל-פחם,א-ראזי 1,94,2019,150000,20339-33-6,דירה בבית,3,1596
366,אום אל-פחם,אל-בח'ארי 54,208,2019,1600000,20449-84-1,קוטג' חד משפחתי,6,7692
408,אום אל-פחם,אבו לאחם 14,102,2018,700000,20417-51-1,דירת גן,4,6863
421,אום אל-פחם,נאבלוס 2,120,2018,450000,20405-64-1,קוטג' חד משפחתי,4,3750
433,אום אל-פחם,א-שועלה 2,100,2018,210000,20342-5-2,דירה בבית,3,2100
475,אום אל-פחם,אשביליה 34,400,2018,1200000,20408-33-1,קוטג' חד משפחתי,5,3000
494,אום אל-פחם,אבן זיידון 18,237,2016,999000,20341-59-1,קוטג' דו משפחתי,6,4215
496,אום אל-פחם,0,161,2016,1000000,20430-18-2,קוטג' חד משפחתי,5,6211
499,אום אל-פחם,אפאק 10,223,2016,925000,20448-49-1,קוטג' חד משפחתי,5,4148
500,אום אל-פחם,אל-ח'נסאא 21,166,2016,1500000,20409-77-1,קוטג' חד משפחתי,5,9036
501,אום אל-פחם,א-ת'נאא 24,75,2016,500000,20414-31-1,קוטג' חד משפחתי,3,6667
503,אום אל-פחם,0,252,2015,800000,20430-15-2,קוטג' חד משפחתי,6,3175
504,אום אל-פחם,אבן אל-ג'אוזי 5,80,2015,200000,20435-64-1,קוטג' חד משפחתי,3,2500
506,אום אל-פחם,א-סיוטי 13,128,2015,128000,20417-47-1,דירה בבית,4,1000
