מספר סידורי,שם העיר,שם השכונה,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
44,בית שמש,פסגת השבע,מצדה 6,190.75,2023,3500000,5207-123-1,דירה בבית,8,18349
46,בית שמש,פסגת השבע,אורטל 6,91.6,2023,1740000,5216-6-24,דירה בבית,4,18996
47,בית שמש,פסגת השבע,עליית הנוער 6,93.51,2023,1830000,5232-9-9,דירה בבית,4,19570
48,בית שמש,פסגת השבע,החרמון 3,117.3,2023,1847000,5215-40-31,דירה בבית,5,15746
50,בית שמש,פסגת השבע,הארבל 2,105.2,2022,2100000,5215-40-86,דירה בבית,4,19962
51,בית שמש,פסגת השבע,הרטוב 2,77.45,2022,2070000,5232-17-64,דירה בבית,3.5,26727
52,בית שמש,פסגת השבע,הגליל 7,103.94,2022,1537000,5232-12-15,דירה בבית,4,14787
53,בית שמש,פסגת השבע,התבור 2,93.5,2022,2100000,5232-25-18,דירה בבית,4,22460
54,בית שמש,פסגת השבע,הגולן 7,83,2022,2200000,5216-6-1,דירה בבית,4,26506
55,בית שמש,פסגת השבע,יצחק רבין 22,85.7,2022,1800000,5232-15-16,דירה בבית,4,21004
57,בית שמש,פסגת השבע,הגליל 7,81.15,2022,1685000,5232-12-12,דירה בבית,3,20764
58,בית שמש,פסגת השבע,הגולן 7,81.2,2022,2155000,5216-6-7,דירה בבית,4,26539
60,בית שמש,פסגת השבע,הגולן 9,82.3,2022,1750000,5216-4-10,דירה בבית,4,21264
62,בית שמש,פסגת השבע,יצחק רבין 12,91.7,2022,1690000,5232-13-52,דירה בבית,4,18430
63,בית שמש,פסגת השבע,עליית הנוער 7,86,2022,2100000,5232-3-37,דירה בבית,4,24419
64,בית שמש,פסגת השבע,הגליל 16,82,2022,1715000,5232-5-17,דירה בבית,4,20915
65,בית שמש,פסגת השבע,החרמון 5,116,2022,1750000,5215-40-16,דירה בבית,5,15086
66,בית שמש,פסגת השבע,הר המוריה 1,95,2022,1950000,5215-5-5,דירה בבית,3,20526
67,בית שמש,פסגת השבע,החרמון 7,86.4,2022,1730000,5215-2-32,דירה בבית,4,20023
68,בית שמש,פסגת השבע,החרמון 5,95.05,2022,1690000,5215-40-40,דירה בבית,5,17780
69,בית שמש,פסגת השבע,הגולן 10,98.2,2022,2365000,5232-10-10,דירה בבית,4,24084
70,בית שמש,פסגת השבע,החרמון 7,86.4,2022,1726000,5215-2-40,דירה בבית,4,19977
71,בית שמש,פסגת השבע,הגליל 14,74,2022,1800000,5232-5-8,דירה בבית,3,24324
72,בית שמש,פסגת השבע,אביטל 6,83.85,2022,1970000,5216-8-14,דירה בבית,4,23494
73,בית שמש,פסגת השבע,הרטוב 24,116.4,2022,1930000,5232-20-51,דירה בבית,4,16581
74,בית שמש,פסגת השבע,הרטוב 24,72.85,2022,1740000,5232-20-23,דירה בבית,3,23885
75,בית שמש,פסגת השבע,יצחק רבין 16,139,2022,2350000,5232-14-2,דירה בבית,5,16906
76,בית שמש,פסגת השבע,הגליל 7,158.81,2022,2300000,5232-12-14,דירה בבית,5,14483
77,בית שמש,פסגת השבע,הגולן 10,135,2022,2440000,5232-10-2,דירה בבית,5,18074
78,בית שמש,פסגת השבע,התבור 8,84.35,2022,1720000,5232-20-81,דירה בבית,4,20391
79,בית שמש,פסגת השבע,אביטל 6,83.85,2022,1760000,5216-8-15,דירה בבית,4,20990
80,בית שמש,פסגת השבע,עליית הנוער 1,86,2021,1520000,5232-4-9,דירה בבית,4,17674
81,בית שמש,פסגת השבע,התבור 10,92.5,2021,1900000,5232-20-87,דירה בבית,4,20541
82,בית שמש,פסגת השבע,הגולן 9,80.4,2021,1500000,5216-4-11,דירה בבית,4,18657
83,בית שמש,פסגת השבע,יצחק רבין 14,68.7,2021,1330000,5232-13-70,דירה בבית,3,19360
84,בית שמש,פסגת השבע,0,688,2021,3370000,5207-123-0,קוטג' דו משפחתי,8,4898
85,בית שמש,פסגת השבע,התבור 4,93.45,2021,1300000,5232-20-62,דירה בבית,4,13911
86,בית שמש,פסגת השבע,סיני 35,244.52,2021,3580000,5207-91-2,דירה בבית,6,14641
87,בית שמש,פסגת השבע,אביטל 4,91.6,2021,1740000,5216-8-23,דירה בבית,4,18996
88,בית שמש,פסגת השבע,הרטוב 24,158.75,2021,1950000,5232-20-28,דירה בבית,6,12283
89,בית שמש,פסגת השבע,עליית הנוער 7,86,2021,1830000,5232-5-14,דירה בבית,4,21279
90,בית שמש,פסגת השבע,הגולן 9,80.4,2021,1400000,5216-4-4,דירה בבית,4,17413
91,בית שמש,פסגת השבע,הגליל 16,82,2021,1575000,5232-5-15,דירה בבית,4,19207
92,בית שמש,פסגת השבע,הגליל 1,147,2021,2700000,5232-11-1,דירה בבית,6,18367
93,בית שמש,פסגת השבע,אביטל 6,83.85,2021,1685000,5216-8-13,דירה בבית,4,20095
94,בית שמש,פסגת השבע,התבור 2,93.5,2021,1600000,5232-25-14,דירה בבית,4,17112
95,בית שמש,פסגת השבע,הגליל 10,82,2021,1845000,5232-4-21,דירה בבית,3,22500
96,בית שמש,פסגת השבע,החרמון 3,116,2021,1620000,5215-40-3,דירה בבית,5,13966
97,בית שמש,פסגת השבע,הגליל 8,85,2021,1510000,5232-3-27,דירה בבית,4,17765
98,בית שמש,פסגת השבע,יצחק רבין 12,98.2,2021,1855000,5232-13-46,דירה בבית,4,18890
99,בית שמש,פסגת השבע,הארבל 10,110.4,2021,2250000,5215-2-2,דירה בבית,4,20380
100,בית שמש,פסגת השבע,הגולן 8,81.65,2021,1700000,5232-15-21,דירה בבית,4,20821
101,בית שמש,פסגת השבע,הגליל 8,74,2021,1640000,5232-3-23,דירה בבית,4,22162
102,בית שמש,פסגת השבע,אביטל 6,83.85,2021,1850000,5216-8-7,דירה בבית,4,22063
103,בית שמש,פסגת השבע,הגולן 5,82.6,2021,1965000,5216-8-1,דירה בבית,4,23789
104,בית שמש,פסגת השבע,סיני 7,226.46,2021,4000000,5207-129-2,דירה בבית,6,17663
105,בית שמש,פסגת השבע,הר המוריה 18,145.4,2021,2500000,5215-4-24,דירה בבית,6,17194
106,בית שמש,פסגת השבע,עליית הנוער 17,82.35,2021,1630000,5232-9-18,דירה בבית,3,19794
107,בית שמש,פסגת השבע,רויטל 4,83.85,2021,1440000,5216-2-34,דירה בבית,4,17174
108,בית שמש,פסגת השבע,הגולן 11,80,2021,1350000,5216-2-11,דירה בבית,4,16875
109,בית שמש,פסגת השבע,הגולן 5,76.9,2021,1380000,5216-8-4,דירה בבית,3,17945
110,בית שמש,פסגת השבע,מיטל 4,108,2021,1800000,5216-4-33,דירה בבית,5,16667
111,בית שמש,פסגת השבע,הרטוב 4,87.8,2021,1485000,5232-17-58,דירה בבית,4,16913
112,בית שמש,פסגת השבע,אביטל 4,73.4,2021,1250000,5216-8-24,דירה בבית,3,17030
113,בית שמש,פסגת השבע,הרטוב 10,87.85,2021,1550000,5232-17-63,דירה בבית,4,17644
114,בית שמש,פסגת השבע,הגולן 12,73.9,2021,1325000,5232-10-20,דירה בבית,3,17930
115,בית שמש,פסגת השבע,עליית הנוער 1,82,2021,1975000,5232-4-1,דירה בבית,4,24085
116,בית שמש,פסגת השבע,התבור 6,85.7,2021,1100000,5232-20-71,דירה בבית,3,12835
117,בית שמש,פסגת השבע,התבור 2,86.1,2021,1810000,5232-25-3,דירה בבית,4,21022
118,בית שמש,פסגת השבע,הגליל 7,104.21,2021,1405000,5232-12-6,דירה בבית,4,13482
119,בית שמש,פסגת השבע,הארבל 2,99.35,2021,1480000,5215-40-91,דירה בבית,4,14897
120,בית שמש,פסגת השבע,הארבל 2,99.35,2021,1610000,5215-40-89,דירה בבית,4,16205
121,בית שמש,פסגת השבע,התבור 6,86.05,2021,1500000,5232-20-73,דירה בבית,3,17432
122,בית שמש,פסגת השבע,הר המוריה 24,164.55,2021,2680000,5215-4-27,דירה בבית,7,16287
124,בית שמש,פסגת השבע,הרטוב 4,77.4,2021,1340000,5232-17-59,דירה בבית,4,17313
125,בית שמש,פסגת השבע,גלעד 9,90,2021,1310000,5207-151-2,דירה בבית,3,14556
126,בית שמש,פסגת השבע,מצדה 5,76,2020,1000000,5207-151-1,דירה בבית,3,13158
127,בית שמש,פסגת השבע,הגליל 11,96.7,2020,268000,5232-13-40,דירה בבית,4,2771
128,בית שמש,פסגת השבע,הגליל 9,78.4,2020,1226000,5232-13-29,דירה בבית,4,15638
129,בית שמש,פסגת השבע,התבור 4,93.35,2020,183000,5232-20-64,דירה בבית,4,1960
130,בית שמש,פסגת השבע,הגליל 6,86,2020,1345000,5232-3-4,דירה בבית,4,15640
131,בית שמש,פסגת השבע,הגליל 11,96.7,2020,1300000,5232-13-42,דירה בבית,4,13444
132,בית שמש,פסגת השבע,הר גבנונים 3,146.1,2020,2400000,5215-3-8,דירה בבית,6,16427
134,בית שמש,פסגת השבע,הארבל 10,93.6,2020,1500000,5215-2-1,דירה בבית,4,16026
135,בית שמש,פסגת השבע,מיטל 6,91.6,2020,1455000,5216-4-15,דירה בבית,4,15884
136,בית שמש,פסגת השבע,יצחק רבין 20,80.12,2020,1340000,5232-15-5,דירה בבית,4,16725
137,בית שמש,פסגת השבע,0,122,2020,1650000,5207-29-1,דירה בבית,4,13525
138,בית שמש,פסגת השבע,יצחק רבין 20,80.12,2020,1260000,5232-15-11,דירה בבית,4,15726
139,בית שמש,פסגת השבע,עליית הנוער 1,86,2020,1295000,5232-4-11,דירה בבית,4,15058
140,בית שמש,פסגת השבע,0,114,2020,1600000,5207-29-2,דירה בבית,4,14035
141,בית שמש,פסגת השבע,הרטוב 24,72.4,2020,1310000,5232-20-33,דירה בבית,3,18094
142,בית שמש,פסגת השבע,הר גבנונים 23,118.6,2020,1775000,5215-3-26,דירה בבית,6,14966
143,בית שמש,פסגת השבע,החרמון 7,109.9,2020,1600000,5215-2-37,דירה בבית,4,14559
145,בית שמש,פסגת השבע,0,60,2020,520000,5207-47-2,דירה בבית,2,8667
146,בית שמש,פסגת השבע,התבור 2,92.35,2020,1739000,5232-25-12,דירה בבית,4,18831
147,בית שמש,פסגת השבע,מצדה 28,247,2020,2650000,5207-88-1,דירה בבית,5.5,10729
148,בית שמש,פסגת השבע,החרמון 1,105.2,2020,1480000,5215-40-98,דירה בבית,5,14068
149,בית שמש,פסגת השבע,יצחק רבין 14,96.7,2020,1380000,5232-13-61,דירה בבית,4,14271
150,בית שמש,פסגת השבע,הר מירון 15,118.6,2020,1872000,5215-4-10,דירה בבית,6,15784
151,בית שמש,פסגת השבע,מיטל 6,91.6,2020,1300000,5216-4-17,דירה בבית,4,14192
152,בית שמש,פסגת השבע,יצחק רבין 20,129,2020,1300000,5232-15-12,דירה בבית,5,10078
153,בית שמש,פסגת השבע,מיטל 6,73.4,2019,1224000,5216-4-21,דירה בבית,3,16676
154,בית שמש,פסגת השבע,הרטוב 18,86.35,2019,1430000,5232-20-34,דירה בבית,4,16561
155,בית שמש,פסגת השבע,הגולן 11,83,2019,1385000,5216-2-3,דירה בבית,4,16687
156,בית שמש,פסגת השבע,הר המוריה 1,187,2019,2300000,5215-5-4,דירה בבית,7,12299
158,בית שמש,פסגת השבע,הרטוב 18,158.75,2019,1800000,5232-20-36,דירה בבית,6,11339
160,בית שמש,פסגת השבע,רויטל 4,83.85,2019,1375000,5216-2-30,דירה בבית,4,16398
161,בית שמש,פסגת השבע,הגולן 13,81.9,2019,1720000,5216-2-7,דירה בבית,3.5,21001
162,בית שמש,פסגת השבע,הארבל 10,85.3,2019,1720000,5215-2-4,דירה בבית,4,20164
163,בית שמש,פסגת השבע,אורטל 6,73.4,2019,1370000,5216-6-21,דירה בבית,3,18665
164,בית שמש,פסגת השבע,מיטל 6,108,2019,1600000,5216-4-18,דירה בבית,5,14815
165,בית שמש,פסגת השבע,הרטוב 12,87.6,2019,1640000,5232-17-28,דירה בבית,4.5,18721
166,בית שמש,פסגת השבע,רויטל 4,83.85,2019,1600000,5216-2-26,דירה בבית,4,19082
167,בית שמש,פסגת השבע,הגליל 15,83,2019,1340000,5232-14-42,דירה בבית,4,16145
168,בית שמש,פסגת השבע,הר המוריה 1,75,2019,1300000,5215-5-3,דירה בבית,3.5,17333
169,בית שמש,פסגת השבע,רויטל 4,83.85,2019,1515000,5216-2-33,דירה בבית,4,18068
170,בית שמש,פסגת השבע,עליית הנוער 5,56,2019,1125000,5232-5-40,דירה בבית,2.5,20089
171,בית שמש,פסגת השבע,הגליל 13,86,2019,1290000,5232-14-29,דירה בבית,4,15000
172,בית שמש,פסגת השבע,0,75,2019,500000,5207-47-3,דירה בבית,1,6667
173,בית שמש,פסגת השבע,הגולן 12,165.8,2019,1810000,5232-10-26,דירה בבית,6,10917
174,בית שמש,פסגת השבע,הגליל 10,86,2019,1480000,5232-4-24,דירה בבית,4,17209
175,בית שמש,פסגת השבע,הגליל 13,91,2019,1455000,5232-14-27,דירה בבית,4,15989
176,בית שמש,פסגת השבע,החרמון 7,86.4,2019,1270000,5215-2-41,דירה בבית,4,14699
177,בית שמש,פסגת השבע,הגליל 13,94,2019,1380000,5232-14-35,דירה בבית,4,14681
178,בית שמש,פסגת השבע,0,315,2018,3350000,5207-47-5,דירה בבית,5,10635
179,בית שמש,פסגת השבע,הגליל 7,81.15,2018,1730000,5232-12-1,דירה בבית,4,21319
180,בית שמש,פסגת השבע,אביטל 4,91.6,2018,1440000,5216-8-28,דירה בבית,4,15721
181,בית שמש,פסגת השבע,החרמון 19,155.8,2018,2125000,5215-3-6,דירה בבית,7,13639
182,בית שמש,פסגת השבע,הגולן 8,85.37,2018,1295000,5232-15-30,דירה בבית,4,15169
183,בית שמש,פסגת השבע,הגליל 10,86,2018,1530000,5232-4-20,דירה בבית,4,17791
184,בית שמש,פסגת השבע,הגליל 15,100,2018,1290000,5232-14-21,דירה בבית,4.5,12900
185,בית שמש,פסגת השבע,אורטל 6,73.4,2018,1160000,5216-6-23,דירה בבית,3,15804
186,בית שמש,פסגת השבע,הר המוריה 1,81,2018,1000000,5215-5-2,דירה בבית,3,12346
187,בית שמש,פסגת השבע,הגולן 9,80.4,2018,1393000,5216-4-9,דירה בבית,4,17326
188,בית שמש,פסגת השבע,עליית הנוער 1,82,2018,1730000,5232-4-8,דירה בבית,4,21098
189,בית שמש,פסגת השבע,הגליל 10,82,2018,1235000,5232-4-25,דירה בבית,4,15061
190,בית שמש,פסגת השבע,הגליל 11,99.6,2018,1310000,5232-13-14,דירה בבית,4,13153
191,בית שמש,פסגת השבע,הארבל 4,99.35,2018,1920000,5215-40-71,דירה בבית,5,19326
192,בית שמש,פסגת השבע,החרמון 7,79.8,2018,1150000,5215-2-42,דירה בבית,3,14411
193,בית שמש,פסגת השבע,אורטל 6,91.6,2018,1330000,5216-6-22,דירה בבית,4,14520
194,בית שמש,פסגת השבע,סיני 46,362,2018,3000000,5207-101-1,דירה בבית,7,8287
195,בית שמש,פסגת השבע,החרמון 1,112.15,2018,1530000,5215-40-46,דירה בבית,5,13642
196,בית שמש,פסגת השבע,עליית הנוער 7,86,2018,1575000,5232-3-36,דירה בבית,4,18314
197,בית שמש,פסגת השבע,הרטוב 4,88.4,2018,1280000,5232-17-51,דירה בבית,4,14480
198,בית שמש,פסגת השבע,יצחק רבין 1,99.35,2018,1300000,5215-40-101,דירה בבית,5,13085
199,בית שמש,פסגת השבע,מיטל 4,73.4,2018,1430000,5216-4-26,דירה בבית,3.5,19482
200,בית שמש,פסגת השבע,0,207,2017,3500000,5207-47-6,דירה בבית,6,16908
