מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,מחיר למר,חדרים
105,ירדן 27,119.6,2021,1850000,12565-14-1,דירה בבית,5,15468
106,ירדן 18,87,2021,1150000,12565-68-33,דירה בבית,3,13218
107,אפק 24,130,2021,2500000,12570-18-1,קוטג' דו משפחתי,5,19231
108,דליות 28,122.76,2021,2285000,12568-88-2,דירה בבית,5,18614
109,ירדן 44,234.11,2021,3070000,12565-6-2,דירה בבית,6,13113
110,צאלים 82,85.9,2021,1165000,12565-76-4,דירה בבית,4,13562
111,ירדן 20,125,2021,1230000,12565-68-9,דירה בבית,5,9840
112,ירדן 88,134,2021,2100000,12568-163-2,קוטג' דו משפחתי,5,15672
113,ירדן 8,95.3,2021,1430000,12565-75-1,דירה בבית,4,15005
114,ירדן 62,145.16,2021,2550000,12568-120-2,קוטג' דו משפחתי,5,17567
115,אפק 23,81,2021,1610000,12570-22-2,קוטג' דו משפחתי,6,19877
116,דליות 5,100.4,2021,1720000,12565-52-3,דירה בבית,4,17131
117,ירדן 14,119,2021,1150000,12565-69-37,דירה בבית,4,9664
118,צאלים 84,77,2021,930000,12565-78-8,דירה בבית,3,12078
119,דליות 22,122.76,2021,1910000,12568-91-1,דירת גן,5,15559
120,דליות 20,122.76,2021,1780000,12568-174-1,דירת גן,5,14500
121,דן 19,136,2021,950000,12568-31-1,קוטג' דו משפחתי,5,6985
122,החצבני 10,147,2021,2335000,12568-265-1,דירת גן,5,15884
123,ירדן 20,145,2020,1600000,12565-68-4,דירה בבית,5,11034
124,ירדן 68,179.76,2020,2970000,12568-107-1,דירה בבית,6,16522
126,המיצר 3,80.9,2020,1030000,12565-60-11,דירה בבית,4,12732
127,ירדן 18,115,2020,1540000,12565-68-25,דירה בבית,4,13391
128,החצבני 23,114.85,2020,2020000,12568-44-1,דירה בבית,5,17588
129,דן 23,158,2020,2150000,12568-33-3,קוטג' דו משפחתי,5.5,13608
130,ירדן 14,87,2020,1020000,12565-69-40,דירה בבית,3,11724
131,ירדן 16,106,2020,1075000,12565-69-20,דירה בבית,4,10142
132,צאלים 90,74.2,2020,1170000,12565-82-7,דירה בבית,3,15768
134,שיאון 8,119.6,2020,1665000,12565-26-1,דירה בבית,6,13921
135,צאלים 82,95.9,2020,1370000,12565-76-2,דירה בבית,4,14286
136,צאלים 80,93.2,2020,1500000,12565-74-2,דירה בבית,4,16094
137,צאלים 76,73.73,2020,1180000,12565-70-12,דירה בבית,3,16004
138,צאלים 84,82.4,2019,1190000,12565-78-6,דירה בבית,4,14442
139,ירדן 10,71.9,2019,940000,12565-73-9,דירה בבית,3,13074
140,שניר 15,117.5,2019,2250000,12568-149-1,דירה בבית,6,19149
141,צאלים 84,85.9,2019,1180000,12565-78-3,דירה בבית,4,13737
142,החצבני 7,142,2019,2200000,12568-245-8,קוטג' דו משפחתי,5,15493
143,דליות 5,103.95,2019,1500000,12565-52-2,דירה בבית,4,14430
144,ירדן 42,192.9,2019,2270000,12565-7-2,דירה בבית,6,11768
146,צאלים 78,82.4,2019,1188000,12565-72-5,דירה בבית,4,14417
147,אפק 26,130,2019,1680000,12570-13-3,דירה בבית,6,12923
148,ירדן 16,125,2019,1225000,12565-69-16,דירה בבית,5,9800
149,דן 12,147,2019,2180000,12568-264-5,דירה בבית,5,14830
150,צאלים 76,125.04,2018,1350000,12565-70-6,דירה בבית,5,10797
151,ירדן 27,119.6,2018,1700000,12565-14-2,דירה בבית,6,14214
152,דן 12,147,2018,2090000,12568-264-4,דירה בבית,5,14218
153,המיצר 3,80.9,2018,1035000,12565-60-5,דירה בבית,4,12794
154,שניר 5,151,2018,2000000,12568-155-1,דירה בבית,5,13245
155,המיצר 9,89.52,2018,880000,12565-61-10,דירה בבית,4,9830
156,דן 14,145,2018,1770000,12568-264-3,דירת גן,5,12207
157,הבניאס 19,112.5,2018,1670000,12568-70-2,דירה בבית,5,14844
158,ירדן 14,80,2018,920000,12565-69-38,דירה בבית,3,11500
159,צאלים 82,74.2,2018,1180000,12565-76-8,דירה בבית,3,15903
160,דליות 14,118.5,2018,2025000,12568-93-2,דירה בבית,5,17089
161,המיצר 9,80.9,2018,1044000,12565-61-6,דירה בבית,4,12905
162,אפק 5,85,2018,1400000,12570-39-2,דירה בבית,3,16471
163,דליות 5,96.47,2018,1350000,12565-52-10,דירה בבית,4,13994
164,המיצר 3,99.33,2017,1380000,12565-60-7,דירה בבית,4,13893
165,דליות 12,113.33,2017,1955000,12568-92-2,דירת גן,5,17251
166,ירדן 56,309,2017,3000000,12568-125-1,דירה בבית,8,9709
167,ירדן 4,71.9,2017,940000,12565-79-9,דירה בבית,3,13074
168,החצבני 18,128,2017,1780000,12568-37-2,דירה בבית,5,13906
169,החצבני 13,144,2017,1775000,12568-267-7,דירה בבית,5,12326
170,דליות 18,118.5,2017,1740000,12568-95-2,דירה בבית,5,14684
171,המיצר 32,114.88,2017,1300000,12565-59-19,דירה בבית,5,11316
172,צאלים 82,93.2,2017,1340000,12565-76-1,דירת גן,4,14378
173,ירדן 16,125,2017,1300000,12565-69-19,דירה בבית,5,10400
174,שיאון 16,73.8,2017,1440000,12565-34-3,דירה בבית,4.5,19512
175,דן 34,73.92,2017,1089000,12568-14-2,דירה בבית,3,14732
176,המיצר 10,80.92,2017,1065000,12565-58-9,דירה בבית,4,13161
177,דן 3,132.8,2017,1925000,12568-246-5,דירה בבית,6,14495
178,דן 30,189,2017,1920000,12568-21-2,דירה בבית,5,10159
179,ירדן 14,87,2017,970000,12565-69-46,דירה בבית,3,11149
180,ירדן 12,82,2017,1200000,12565-71-6,דירה בבית,4,14634
181,ירדן 6,95.3,2017,1200000,12565-77-1,דירה בבית,4,12592
182,ירמוך 8,185,2017,3220000,12568-111-2,דירה בבית,7,17405
183,ירדן 6,79.3,2017,1139000,12565-77-6,דירה בבית,4,14363
184,הבניאס 17,80.15,2017,1525000,12568-76-1,דירה בבית,4.5,19027
185,אפק 31,134,2016,1780000,12570-9-2,דירה בבית,6,13284
186,דליות 4,122.76,2016,1650000,12568-99-1,דירה בבית,5,13441
187,דליות 10,124.49,2016,1665000,12568-96-2,דירה בבית,6,13375
188,ירדן 54,145.55,2016,2255000,12568-127-1,דירת נופש,5,15493
189,ירדן 12,92.3,2016,1330000,12565-71-1,דירה בבית,4,14410
190,ירדן 6,73.8,2016,950000,12565-77-8,דירה בבית,3,12873
191,אפק 27,134,2016,1699000,12570-17-2,דירה בבית,6,12679
192,צאלים 90,82.4,2016,1117000,12565-82-6,דירה בבית,4,13556
193,אפק 18,134,2016,1750000,12570-20-4,דירה בבית,5,13060
194,שיאון 20,91.7,2016,1430000,12565-37-2,דירה בבית,4.5,15594
195,המיצר 9,80.9,2016,870000,12565-61-5,דירה בבית,4,10754
196,דן 38,82,2016,1750000,12568-23-2,דירה בבית,5,21341
197,ירדן 18,87,2016,880000,12565-68-41,דירה בבית,3,10115
198,ירדן 8,85.9,2016,1050000,12565-75-4,דירה בבית,4,12224
199,צאלים 88,82.4,2016,1100000,12565-81-5,דירה בבית,4,13350
200,שיאון 20,91.7,2016,1436000,12565-37-1,דירה בבית,4,15660
201,דליות 8,122.76,2016,1730000,12568-97-2,דירת גן,5,14093
202,צאלים 84,74.2,2016,860000,12565-78-7,דירה בבית,3,11590
203,ירדן 18,87,2016,1040000,12565-68-35,דירה בבית,3,11954
204,המיצר 32,109.82,2016,1349000,12565-59-6,דירה בבית,5,12284
205,ירדן 24,127,2016,1780000,12565-66-2,דירה בבית,5,14016
206,המיצר 32,119.78,2015,1450000,12565-59-10,דירה בבית,5,12106
207,החצבני 7,142,2015,2025000,12568-245-7,דירה בבית,6,14261
208,ירדן 12,85.9,2015,1090000,12565-71-3,דירה בבית,4,12689
209,ירדן 6,71.9,2015,755000,12565-77-9,דירה בבית,3,10501
210,אפק 24,130,2015,1680000,12570-18-3,דירת גן,6,12923
211,ירדן 18,80,2015,830000,12565-68-32,דירה בבית,3,10375
212,צאלים 86,77,2015,850000,12565-80-7,דירה בבית,3,11039
213,דליות 16,118.5,2015,1745000,12568-94-1,דירה בבית,5.5,14726
214,ירדן 6,95.3,2015,1185000,12565-77-2,דירה בבית,4,12434
215,המיצר 32,109.95,2015,1190000,12565-59-12,דירה בבית,5,10823
216,הבניאס 1,125.5,2015,1750000,12568-65-1,דירה בבית,5,13944
217,ירדן 10,92.3,2015,1240000,12565-73-2,דירה בבית,4,13434
218,שיאון 10,119.6,2015,1620000,12565-28-1,דירה בבית,5,13545
