מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
919,חיל החימוש 36,102.99,"2009","1390000",2717-21-33,דירה בבית קומות,4,שביעית
920,חיל הצנחנים 20,99,"2009","1215000",5037-29-97,דירה בבית קומות,4,קרקע
921,0,150,"2009","1300000",5029-59-5,קוטג' דו משפחתי,5,לא ידוע
922,חיל החימוש 18,85.71,"2009","710000",2717-3-19,דירה בבית קומות,4,שלישית
923,חיל החימוש 36,104.25,"2009","1325000",2717-21-15,דירה בבית קומות,4,רביעית
924,חיל השריון 13,95,"2009","900000",2717-14-9,דירה בבית קומות,4,שלישית
925,חיל התותחנים 22,120,"2009","1600000",2717-25-17,דירה בבית קומות,5,שביעית
926,חיל הרגלים 33,80.75,"2009","718000",5031-4-16,דירה בבית קומות,4,רביעית
927,חיל השריון 13,93,"2009","1130000",2717-14-23,דירה בבית קומות,4,שישית
"928","זלמן שז"ר 36","65","16/02/2009","665000","2717-19-3","דירה בבית קומות","3","ראשונה"
929,מרדכי היהודי 9,323,"2009","2200000",5030-69-1,קוטג' דו משפחתי,7,לא ידוע
930,0,155,"2009","1933000",5029-6-1,קוטג' דו משפחתי,7,קרקע ראשונה ושניה
931,מרדכי היהודי 11,427,"2009","1900000",5030-68-1,קוטג' דו משפחתי,7,לא ידוע
932,הפור 20,260,"2009","2350000",5030-102-1,קוטג' דו משפחתי,5,לא ידוע
933,המגילה 44,125,"2008","2060000",5029-83-2,דירה בבית קומות,5,לא ידוע
934,חיל החימוש 18,99.42,"2008","1100000",2717-3-33,דירה בבית קומות,4,שישית
935,אסתר המלכה 5,250,"2008","1880000",5030-43-1,קוטג' דו משפחתי,6,לא ידוע
936,לנדאו 3,94.65,"2008","812000",5037-51-18,דירה בבית קומות,4,חמישית
937,המגילה 35,300,"2008","2530000",5029-56-1,קוטג' דו משפחתי,7,לא ידוע
938,חיל הצנחנים 17,88.5,"2008","850000",5037-30-113,דירה בבית קומות,4.5,רביעית
939,השרביט 5,576,"2008","4225000",5029-70-1,קוטג' חד משפחתי,1,לא ידוע
940,המלך 13,250,"2008","1950000",5029-92-1,דירה בבית קומות,6,לא ידוע
941,שושנת יעקב 18,170,"2008","1950000",5030-125-1,קוטג' דו משפחתי,6,לא ידוע
942,חיל החימוש 24,113.45,"2008","1060000",2717-5-26,דירה בבית קומות,5,שישית
943,חיל הצנחנים 20,131,"2008","1550000",5037-29-88,דירה בבית קומות,6,רביעית וחמישית
944,חיל הצנחנים 51,135,"2008","1580000",5037-8-3,דירה בבית קומות,5,קרקע וראשונה
945,חיל הצנחנים 8,92.7,"2008","940000",5037-37-56,דירה בבית קומות,4,שניה
946,חיל הצנחנים 8,83.3,"2008","890000",5037-37-78,דירה בבית קומות,3.5,ראשונה
947,חיל האוויר 1,91.95,"2008","1120000",2717-36-3,דירה בבית קומות,4,שניה
948,חיל התותחנים 22,125,"2008","1380000",2717-25-4,דירה בבית קומות,5,רביעית
949,לנדאו 1,91.53,"2008","820000",5037-48-6,דירה בבית קומות,4,שניה
950,חיל האוויר 1,91.95,"2008","1120000",2717-36-7,דירה בבית קומות,4,שלישית
951,חיל האוויר 5,96.25,"2008","1190000",2717-34-13,דירה בבית קומות,4,רביעית
952,חיל האוויר 1,91.95,"2008","1165000",2717-36-27,דירה בבית קומות,4,שמינית
953,חיל הצנחנים 19,75.5,"2008","715000",5037-30-4,דירה בבית קומות,3.5,קרקע
954,חיל האוויר 1,91.95,"2008","1150000",2717-36-39,דירה בבית קומות,4,אחת עשרה
955,חיל הצנחנים 10,95.7,"2008","700000",5037-37-108,דירה בבית קומות,4,שניה
956,הפור 25,376,"2008","1875000",5030-16-1,דירה בבית קומות,7,לא ידוע
957,חיל האוויר 3,145.15,"2008","2901000",2717-35-82,דירה בבית קומות,6,עשרים ושתים
958,חיל החימוש 3,75.3,"2008","835000",2717-4-26,דירה בבית קומות,3,שישית
959,חיל השריון 13,107,"2008","1060000",2717-14-13,דירה בבית קומות,5,רביעית
960,חיל הצנחנים 20,94.5,"2008","595000",5037-29-6,דירה בבית קומות,4,ראשונה
961,חיל הצנחנים 6,94.9,"2008","905000",5037-37-61,דירה בבית קומות,4,שלישית
962,חיל האוויר 1,91.95,"2008","1088000",2717-36-30,דירה בבית קומות,4,תשיעית
963,חיל האוויר 1,91.95,"2008","1185000",2717-36-47,דירה בבית קומות,4,שלוש עשרה
964,חיל האוויר 1,96.25,"2008","1059000",2717-36-4,דירה בבית קומות,4,שניה
965,חיל הצנחנים 19,85,"2008","795000",5037-30-18,דירה בבית קומות,4,רביעית
966,0,22,"2008","85000",5037-35-1,חנות,לא ידוע,ראשונה
967,חיל האוויר 1,96.25,"2008","1060000",2717-36-12,דירה בבית קומות,4,רביעית
968,חיל האוויר 1,91.95,"2008","1183000",2717-36-51,דירה בבית קומות,4,ארבע עשרה
969,חיל האוויר 1,139.05,"2008","2775000",2717-36-81,דירה בבית קומות,6,עשרים ושתים
970,חיל הצנחנים 20,69,"2008","770000",5037-29-5,דירה בבית קומות,3.5,ראשונה
971,חיל האוויר 3,91.95,"2008","1008000",2717-35-2,דירה בבית קומות,4,שניה
972,חיל האוויר 1,91.95,"2008","1167000",2717-36-55,דירה בבית קומות,4,חמש עשרה
973,חיל התותחנים 24,134.3,"2008","1700000",2717-24-48,דירה בבית קומות,5,עשירית + אחת עשרה
974,0,22,"2008","86000",5037-35-2,חנות,לא ידוע,ראשונה
975,חיל האוויר 1,96.25,"2008","1068000",2717-36-28,דירה בבית קומות,4,שמינית
976,הפור 11,344,"2008","2426000",5030-9-1,קוטג' דו משפחתי,8,לא ידוע
977,חיל האוויר 1,96.25,"2008","1055000",2717-36-16,דירה בבית קומות,4,חמישית
978,חיל האוויר 1,91.95,"2008","1092000",2717-36-34,דירה בבית קומות,4,עשירית
979,חיים לנדאו 2,82.9,"2008","700000",5037-37-24,דירה בבית קומות,4,שישית
980,חן 7,204.4,14/04/2008,1410000,5037-18-2,דירה בבית קומות,6,מרתף,קרקע,ראשנה,שניה
981,המגילה 44,לא ידוע,"2008","2000000",5029-83-1,קוטג' דו משפחתי,6,לא ידוע
982,חיל האוויר 3,114,"2008","1304000",2717-35-40,דירה בבית קומות,5,אחת עשרה
"983","זלמן שז"ר 35","84","08/04/2008","1010000","5037-29-20","דירת גן","4","קרקע"
984,חיל הצנחנים 4,138.7,"2008","1030000",5037-37-128,דירה בבית קומות,5,שביעית
985,חיל הצנחנים 25,103.5,"2008","1050000",5037-30-55,דירה בבית קומות,6,רביעית
"986","זלמן שז"ר 16","76.47","31/03/2008","660000","5031-9-2","דירה בבית קומות","3","ראשונה"
987,חיל האוויר 1,96.25,"2008","1047000",2717-36-17,דירה בבית קומות,4,שישית
988,חיל האוויר 1,91.95,"2008","1077000",2717-36-42,דירה בבית קומות,4,שתים עשרה
989,חיל האוויר 1,91.95,"2008","1066000",2717-36-38,דירה בבית קומות,4,אחת עשרה
990,חיל ההנדסה 7,85.71,"2008","890000",2717-2-22,דירה בבית קומות,4,חמישית
991,חיל החימוש 18,80.12,"2008","695000",2717-3-8,דירה בבית קומות,4,שלישית
992,לנדאו 1,80.88,"2008","850000",5037-48-23,דירה בבית קומות,3.5,שישית
993,חיל האוויר 3,95.1,"2008","1299000",2717-35-75,דירה בבית קומות,4,עשרים
994,חיל האוויר 3,114.65,"2008","1304000",2717-35-60,דירה בבית קומות,5,שש עשרה
995,חיל האוויר 1,96.25,"2008","1047000",2717-36-24,דירה בבית קומות,4,שביעית
996,חיל האוויר 3,95,"2008","1228000",2717-35-67,דירה בבית קומות,4,שמונה עשרה
997,חיל האוויר 1,96.25,"2008","1147000",2717-36-48,דירה בבית קומות,4,שלוש עשרה
998,חיל האוויר 1,91.95,"2008","1057000",2717-36-26,דירה בבית קומות,4,שמינית
999,אדר 16,242,"2008","1750000",5029-27-1,קוטג' דו משפחתי,7,מרתף,קרקע,ראשונה,שניה
"1000","זלמן שז"ר 34","90","17/02/2008","700000","2717-19-2","דירה בבית קומות","3.5","רביעית"
