מספר סידורי,שם העיר,שם השכונה,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
102,אור עקיבא,שזר,שזר 802,60.7,2020,798000,10650-79-6,דירה בבית,3,13147
103,אור עקיבא,שזר,מנחם ציוני 801,73.8,2020,300000,10650-78-1,דירה בבית,3,4065
104,אור עקיבא,שזר,שזר 821,60.75,2020,740000,10650-98-2,דירה בבית,3,12181
105,אור עקיבא,שזר,שזר 817,60.75,2020,750000,10650-94-15,דירה בבית,3,12346
106,אור עקיבא,שזר,שזר 819,60,2020,816000,10650-96-7,דירה בבית,3,13600
107,אור עקיבא,שזר,מנחם ציוני 801,72.1,2020,88000,10650-78-5,דירה בבית,3,1221
108,אור עקיבא,שזר,מנחם ציוני 805,60.7,2020,750000,10650-82-3,דירה בבית,3,12356
109,אור עקיבא,שזר,שזר 823,60,2020,500000,10650-100-11,דירה בבית,2,8333
110,אור עקיבא,שזר,שזר 819,60,2020,762000,10650-96-14,דירה בבית,3,12700
111,אור עקיבא,שזר,שזר 823,49,2019,540000,10650-100-24,דירה בבית,3,11020
112,אור עקיבא,שזר,שזר 815,60.75,2019,790000,10650-92-5,דירה בבית,3,13004
113,אור עקיבא,שזר,שזר 812,77.8,2019,800000,10650-88-33,דירה בבית,4,10283
114,אור עקיבא,שזר,שזר 807,61.2,2019,800000,10650-84-6,דירה בבית,3,13072
115,אור עקיבא,שזר,שזר 803,47.1,2019,700000,10650-80-6,דירה בבית,2,14862
116,אור עקיבא,שזר,שזר 811,27.7,2019,217000,10650-88-18,דירה בבית,2,7834
117,אור עקיבא,שזר,שזר 808,61.2,2019,116000,10650-85-24,דירה בבית,3,1895
118,אור עקיבא,שזר,שזר 807,61.2,2019,800000,10650-84-20,דירה בבית,3,13072
119,אור עקיבא,שזר,שזר 813,61.2,2019,721000,10650-90-24,דירה בבית,3,11781
120,אור עקיבא,שזר,שזר 810,60.7,2019,700000,10650-87-3,דירה בבית,3,11532
121,אור עקיבא,שזר,מנחם ציוני 805,75,2018,820000,10650-82-17,דירה בבית,4,10933
122,אור עקיבא,שזר,שזר 821,60.75,2018,675000,10650-98-10,דירה בבית,3,11111
123,אור עקיבא,שזר,שזר 820,49,2018,710000,10650-97-1,דירה בבית,2,14490
124,אור עקיבא,שזר,שזר 818,60.75,2018,730000,10650-95-9,דירה בבית,3,12016
125,אור עקיבא,שזר,מנחם ציוני 801,72.1,2017,835000,10650-78-13,דירה בבית,3,11581
126,אור עקיבא,שזר,שזר 820,49,2017,590000,10650-97-26,דירה בבית,2,12041
127,אור עקיבא,שזר,שזר 811,28.2,2017,620000,10650-88-2,דירה בבית,1,21986
128,אור עקיבא,שזר,שזר 809,60.7,2017,885000,10650-86-14,דירה בבית,3,14580
129,אור עקיבא,שזר,מנחם ציוני 805,73.2,2017,900000,10650-82-29,דירה בבית,4,12295
130,אור עקיבא,שזר,שזר 807,61.2,2017,750000,10650-84-22,דירה בבית,3,12255
131,אור עקיבא,שזר,הרצל 32,150,2017,1690000,10615-9-1,קוטג' דו משפחתי,6,11267
132,אור עקיבא,שזר,שזר 819,60,2016,750000,10650-96-16,דירה בבית,3,12500
133,אור עקיבא,שזר,שזר 808,61.2,2016,830000,10650-85-14,דירה בבית,3,13562
134,אור עקיבא,שזר,שזר 804,77.8,2016,830000,10650-81-4,דירה בבית,4,10668
135,אור עקיבא,שזר,שזר 819,60,2016,780000,10650-96-28,דירה בבית,3,13000
136,אור עקיבא,שזר,שזר 820,49,2016,620000,10650-97-29,דירה בבית,2,12653
137,אור עקיבא,שזר,שזר 812,77.8,2016,850000,10650-88-36,דירה בבית,4,10925
138,אור עקיבא,שזר,שזר 802,60.7,2016,760000,10650-79-11,דירה בבית,3,12521
139,אור עקיבא,שזר,שזר 804,77.8,2016,760000,10650-81-3,דירה בבית,4,9769
140,אור עקיבא,שזר,שזר 808,61.2,2016,125000,10650-85-20,דירה בבית,3,2042
141,אור עקיבא,שזר,שזר 808,61.2,2015,685000,10650-85-12,דירה בבית,3,11193
142,אור עקיבא,שזר,שזר 813,61.2,2015,690000,10650-90-4,דירה בבית,3,11275
143,אור עקיבא,שזר,שזר 808,61.2,2015,750000,10650-85-15,דירה בבית,3,12255
144,אור עקיבא,שזר,שזר 823,49,2015,120000,10650-100-1,דירה בבית,3,2449
