מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,קומה
308,יערה 12,121,"2005","1515000",6578-551-7,דירה בבית קומות,5,שלישית
309,יערה 12,121,"2005","1510000",6578-551-11,דירה בבית קומות,5,רביעית
310,יערה 12,124.73,"2005","1555000",6578-551-19,דירה בבית קומות,5,שישית
311,יערה 12,121,"2005","1535000",6578-551-10,דירה בבית קומות,5,שלישית
312,החורש 6,101.62,"2005","1250000",6578-547-14,דירה בבית קומות,5,חמישית
313,החורש 6,109.88,"2005","1175000",6578-547-3,דירה בבית קומות,4,ראשונה
314,החורש 6,104.34,"2005","1289000",6578-547-5,דירה בבית קומות,1,שניה
315,יערה 12,115.84,"2005","1722000",6578-551-42,דירה בבית קומות,5.5,אחת עשרה
316,הזהב 4,114.5,"2004","1527000",6578-549-46,דירה בבית קומות,4,שתים עשרה
317,הזהב 4,152.2,"2004","2073000",6578-549-48,דירה בבית קומות,6,שלוש עשרה
318,רבוצקי 100,120,"2004","1402000",6578-558-5,דירה בבית קומות,5,ראשונה
319,יערה 12,121,"2004","1530000",6578-551-14,דירה בבית קומות,5.5,רביעית
320,יערה 12,102.02,"2004","1205000",6578-551-8,דירה בבית קומות,4,שלישית
321,הזהב 4,104.3,"2004","1150000",6578-549-4,דירה בבית קומות,4,שניה
322,הזהב 4,99.5,"2004","1140000",6578-549-5,דירה בבית קומות,4,שניה
323,יערה 12,115.36,"2004","1425000",6578-551-40,דירה בבית קומות,5,אחת עשרה
324,יערה 12,129.54,"2004","1772000",6578-551-38,דירה בבית קומות,5,עשירית
325,הזהב 4,128.5,"2004","1543000",6578-549-35,דירה בבית קומות,5,עשירית
326,יערה 12,103.2,"2004","1217000",6578-551-12,דירה בבית קומות,1,רביעית
327,יערה 12,154.1,"2004","2200000",6578-551-47,דירה בבית קומות,6,שלוש עשרה
328,יערה 12,152.48,"2003","2380000",6578-551-48,דירה בבית קומות,6,שלוש עשרה
329,יערה 12,104.43,"2003","1220000",6578-551-20,דירה בבית קומות,6,שישית
330,יערה 12,125.93,"2003","1555000",6578-551-23,דירה בבית קומות,6,שביעית
331,יערה 12,131.14,"2003","1410000",6578-551-22,דירה בבית קומות,5,שישית
332,יערה 12,98.7,"2003","1354000",6578-551-32,דירה בבית קומות,4,תשיעית
333,יערה 12,102.8,"2003","1263000",6578-551-28,דירה בבית קומות,4,שמינית
334,הזהב 4,103.5,"2003","1220000",6578-549-25,מחסנים,לא ידוע,שביעית
335,הזהב 4,103.67,"2003","1225000",6578-549-33,משרד,לא ידוע,תשיעית
336,הזהב 4,103.35,"2003","1180000",6578-549-8,דירה בבית קומות,3,שלישית
337,הזהב 4,103.56,"2003","1230000",6578-549-29,דירה בבית קומות,4,שמינית
338,יערה 12,103.2,"2003","1200000",6578-551-21,דירה בבית קומות,4,שישית
339,יערה 12,102.4,"2003","1261000",6578-551-25,דירה בבית קומות,4,שביעית
340,הזהב 4,119.39,"2002","1654000",6578-549-31,דירה בבית קומות,5,תשיעית
341,הזהב 4,120.07,"2002","1617000",6578-549-34,דירה בבית קומות,5,תשיעית
342,הזהב 4,125.37,"2002","1350000",6578-549-3,דירה בבית קומות,5,שניה
343,הזהב 4,127.46,"2002","1517000",6578-549-27,דירה בבית קומות,5,שמינית
344,הזהב 4,125.03,"2001","1343000",6578-549-22,דירה בבית קומות,5,שישית
345,הזהב 4,99.5,"2001","1075000",6578-549-13,דירה בבית קומות,4,רביעית
346,הזהב 4,121,"2001","1296000",6578-549-18,דירה בבית קומות,5,חמישית
347,הזהב 4,102.79,"2001","1117000",6578-549-32,דירה בבית קומות,4,תשיעית
348,הזהב 4,139.79,"2001","1334000",6578-549-1,דירה בבית קומות,5,ראשונה
349,הזהב 4,125.48,"2001","1353000",6578-549-26,דירה בבית קומות,5,שביעית
350,הזהב 4,121,"2001","1296000",6578-549-15,דירה בבית קומות,5,חמישית
351,הזהב 4,124.78,"2001","1300000",6578-549-23,דירה בבית קומות,5,שביעית
352,הזהב 4,123.56,"2001","1487000",6578-549-30,דירה בבית קומות,5,שמינית
